Země;Množství;Měna;Změna;Nákup;Prodej;Střed;Nákup;Prodej;Střed
Austrálie;1;AUD;-1.5;16,883;17,829;17,356;0,000;0,000;0,000
Čína;1;CNY;-0.2;3,527;3,978;3,753;0,000;0,000;0,000
Dánsko;1;DKK;-0.3;3,369;3,558;3,463;3,369;3,558;3,463
EMS;1;EUR;-0.3;25,077;26,471;25,774;25,077;26,471;25,774
Chorvatsko;1;HRK;-0.3;3,315;3,504;3,409;0,000;0,000;0,000
Japonsko;100;JPY;-0.7;19,983;21,101;20,542;0,000;0,000;0,000
Kanada;1;CAD;-1.1;18,008;19,015;18,512;0,000;0,000;0,000
Maďarsko;100;HUF;1;6,363;6,742;6,553;0,000;0,000;0,000
Norsko;1;NOK;-0.9;2,551;2,697;2,624;2,551;2,697;2,624
Polsko;1;PLN;-0.5;5,033;5,328;5,181;0,000;0,000;0,000
Rumunsko;1;RON;-0.2;5,066;5,349;5,208;0,000;0,000;0,000
Švédsko;1;SEK;-0.2;2,312;2,443;2,377;2,312;2,443;2,377
Švýcarsko;1;CHF;-0.6;24,947;26,290;25,619;24,947;26,290;25,619
Turecko;1;TRY;-0.6;1,547;1,749;1,648;0,000;0,000;0,000
USA;1;USD;-0.3;23,065;24,351;23,708;23,065;24,351;23,708
Velká Británie;1;GBP;-0.7;30,280;31,970;31,125;30,280;31,970;31,125